2013 May,113,110,97,115,115,110,110,115,115,115,115,115,103,105,105,105,105,105,110,105,105,110,105,105,105
2013 June,109,105,105,105,105,105,105,115,115,120,115,115,110,120,115,115,115,115,120,120,115,115,115,115,115
2013 July,94,115,120,115,105,105,105,115,105,105,105,105,105,55,135,135,115,125,105,105,105,105,105,105,105
2013 August,95,105,105,105,97,95,105,97,105,105,95,85,85,85,85,95,85,75,75,95,95,95,95,95,95
2013 Sept,126,95,95,95,95,105,95,95,95,95,95,95,78,95,95,95,95,95,95,95,95,95,95,95,105
2013 Oct,131,105,105,105,120,115,117,125,115,110,133,135,135,135,130,135,135,135,135,135,135,135,135,135,135
2013 Nov,105,135,135,135,135,135,135,135,145,140,140,135,125,115,113,120,120,135,135,135,135,125,125,125,125
2013 Dec,99,105,105,105,105,105,105,105,105,105,105,105,115,105,105,105,105,105,105,105,105,105,105,105,105
2104 Jan ,105,105,105,105,95,95,95,105,105,95,95,95,95,95,98,105,105,105,95,105,95,95,95,98,105
 2104 Feb,105,98,98,95,105,95,105,140,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105
2014 March,114,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,103,105,105,105,105,105
2014 April,125,105,105,105,105,105,105,105,105,105,105,105,105,105,127,125,125,115,120,123,125,125,125,125,125
2014 May,175,125,125,123,125,123,123,125,123,125,123,125,125,125,125,125,125,125,125,125,123,125,125,125,125
2014 June,229,125,130,130,130,120,145,155,157,157,190,195,193,193,197,195,197,205,213,190,193,197,197,195,190
2014 July,149,207,210,190,193,230,245,210,190,190,230,210,210,235,230,230,237,267,257,255,260,260,253,255,240
2014 August,103,217,210,210,210,190,190,190,190,190,190,113,120,113,120,113,117,110,110,107,110,110,120,113,110
2014 Sept,124,100,97,100,97,95,95,95,95,90,97,100,115,90,90,110,110,110,105,105,110,110,110,117,117
2014 Oct,115,127,125,127,125,110,120,125,125,120,125,125,125,133,140,129,120,120,125,125,125,120,117,117,125
2014 Nov,111,125,125,110,110,117,120,120,117,117,120,120,120,120,110,117,110,113,105,120,110,105,105,107,107
2014 Dec,105,110,107,110,107,110,107,107,105,130,130,110,107,107,107,115,115,115,117,115,115,105,107,105,107
2015 Jan ,104,105,105,105,105,105,105,105,107,105,103,107,107,105,105,105,105,105,105,105,105,105,105,105,105
2015 Feb,104,105,105,105,105,105,105,105,105,105,105,105,105,105,103,103,105,107,105,107,105,105,107,95,97
2015 March,106,95,95,97,95,97,95,97,105,105,105,115,105,105,105,105,105,105,107,103,110,115,105,115,105
2015 April,141,105,105,95,115,115,95,105,95,95,105,107,105,107,105,105,117,105,105,105,105,105,115,115,105
2015 May,134,107,105,143,135,133,137,145,147,123,137,136,135,135,145,175,146,135,137,145,175,135,135,175,155
2015 June,81,175,175,167,155,175,160,163,145,155,145,125,115,125,123,120,118,95,105,95,103,205,88,93,85
2015 July,95,85,85,85,85,85,85,85,85,85,75,73,85,85,83,75,75,75,75,75,75,85,75,83,75
2015 August,98,83,85,95,95,95,95,95,85,95,105,95,95,95,95,95,95,85,95,95,105,105,105,98,105
2015 Sept,116,105,95,105,105,105,95,95,95,95,95,95,105,105,105,105,95,95,95,95,95,95,95,95,95
2015 Oct,127,95,95,95,105,105,115,115,110,125,125,110,105,105,105,110,105,135,135,135,145,135,125,135,125
2015 Nov,88,125,125,135,145,145,145,145,145,145,155,155,155,155,145,115,105,105,105,105,105,100,105,95,95
2015 Dec,88,85,85,85,85,85,85,90,85,85,85,95,85,85,90,85,85,95,85,95,90,95,95,85,85
2016 Jan ,94,85,90,85,95,95,95,95,95,90,95,85,85,85,85,85,85,85,85,85,85,85,85,78,85
2016 Feb,102,85,85,85,85,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,105,105
2016 March,103,105,105,105,105,95,105,105,105,105,95,95,95,95,95,105,105,105,105,105,105,105,95,105,95
2016 April,107,105,105,105,105,95,95,95,95,88,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105
2016 May,110,120,105,125,125,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105
2016 June,124,105,105,105,100,105,105,105,105,105,115,115,115,115,115,115,115,105,105,105,105,115,125,115,115
2016 July,115,125,125,125,125,125,125,125,125,125,95,95,155,95,95,125,125,125,125,155,155,155,125,125,95
2016 August,124,95,95,145,145,145,95,95,105,105,115,115,105,105,105,105,105,105,125,115,135,125,125,115,125
