2013 May,69,67,65,65,65,65,65,78,75,75,75,75,75,65,65,95,95,95,75,75,65,75,75,85,85
2013 June,52,75,85,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,65,65,55,55,45,45,45
2013 July,55,45,45,45,45,45,45,55,55,55,45,45,55,55,55,55,55,55,55,55,55,55,55,55,55
2013 August,55,55,55,55,57,55,55,55,45,55,55,55,55,55,65,55,55,55,55,55,55,55,55,55,55
2013 Sept,54,55,55,55,65,65,65,55,55,57,55,55,55,55,55,55,55,55,55,57,53,55,48,48,48
2013 Oct,55,48,48,48,45,45,55,55,55,55,55,55,65,65,55,57,55,55,55,55,55,55,55,55,55
2013 Nov,45,55,58,55,55,55,55,55,55,55,55,55,55,55,63,63,58,58,53,48,55,55,45,55,53
2013 Dec,45,45,55,45,45,45,45,45,45,45,45,45,43,45,45,45,45,45,45,45,45,45,45,48,45
2104 Jan ,47,45,43,45,45,45,45,45,43,45,45,45,45,45,45,48,45,45,45,45,45,45,53,45,45
 2104 Feb,53,45,45,45,45,45,45,75,45,45,45,45,45,45,45,45,45,45,45,45,55,45,45,53,53
2014 March,73,48,48,48,58,48,48,48,48,48,48,48,48,48,48,48,55,48,65,65,65,65,58,58,58
2014 April,99,55,55,65,63,55,58,65,65,65,65,65,65,65,87,85,75,75,75,85,85,95,95,95,95
2014 May,84,95,97,93,95,85,93,85,87,85,87,85,95,85,115,115,125,125,115,115,107,95,95,95,95
2014 June,85,95,85,83,85,80,90,85,90,85,85,85,85,85,85,75,75,75,75,85,85,85,85,85,85
2014 July,64,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,83,85,85,85,77,77,95,85
2014 August,51,65,65,75,75,65,65,75,65,65,65,65,65,65,65,65,65,65,65,65,55,55,48,55,55
2014 Sept,57,53,55,55,55,45,48,48,43,50,53,58,55,58,58,43,45,43,45,53,53,55,47,45,53
2014 Oct,57,53,53,53,52,58,53,53,53,53,53,53,53,58,60,58,55,57,63,63,65,63,63,63,63
2014 Nov,58,63,63,58,58,58,60,60,53,58,58,53,53,53,63,58,58,53,55,53,63,55,53,58,53
2014 Dec,57,53,53,53,53,58,58,53,53,65,65,58,58,58,58,63,63,58,58,58,58,58,53,58,58
2015 Jan ,57,58,58,58,58,48,49,51,51,51,51,53,53,53,58,55,49,67,65,67,65,67,55,55,65
2015 Feb,70,55,51,55,53,53,53,53,53,53,53,53,53,53,53,53,55,53,57,58,58,73,68,75,73
2015 March,72,73,73,77,77,77,75,77,77,77,75,65,65,65,67,65,65,67,67,65,65,58,58,73,65
2015 April,94,63,63,63,63,63,63,77,73,77,63,63,63,67,65,75,87,73,75,75,75,75,105,95,75
2015 May,81,75,75,97,95,125,107,105,107,97,87,78,85,86,84,85,95,95,107,105,105,95,95,85,85
2015 June,75,85,85,87,85,78,78,65,75,75,83,85,85,85,83,95,90,75,75,85,85,75,75,80,75
2015 July,69,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,85,75,75,75
2015 August,65,75,75,75,65,65,65,75,75,75,75,65,65,65,65,75,75,65,65,65,63,65,62,68,63
2015 Sept,65,65,63,65,63,65,65,65,65,65,65,65,65,65,75,65,73,63,65,65,63,55,55,65,63
2015 Oct,83,65,65,65,63,65,65,75,65,65,65,65,65,65,65,55,58,63,55,65,65,65,65,65,75
2015 Nov,76,65,65,65,65,65,75,95,95,105,125,115,115,95,65,73,75,75,75,75,75,95,85,85,75
2015 Dec,72,75,85,75,85,85,75,75,75,75,75,75,80,75,75,75,75,75,75,75,75,75,75,75,75
