2013 May,33,28,28,26,24,25,26,27,26,26,27,26,30,32,30,29,29,29,29,27,26,29,50,53,48
2013 June,56,43,48,33,28,30,38,38,42,33,38,34,38,28,28,27,27,28,28,33,33,33,33,28,28
2013 July,44,28,33,33,33,33,58,58,58,75,78,78,85,85,68,58,53,58,58,53,53,52,48,45,53
2013 August,41,50,58,43,38,38,35,33,19,33,38,38,58,58,58,58,58,48,53,43,38,38,38,40,43
2013 September,52,43,48,44,48,48,43,43,34,38,38,38,43,39,42,39,43,34,38,38,33,38,38,43,43
2013 october,84,43,53,78,58,63,58,58,53,53,48,43,43,38,38,38,43,43,52,58,63,55,55,58,58
2013 November,52,58,58,58,65,95,95,85,85,88,88,98,95,92,93,92,95,85,97,83,85,85,78,77,85
2013 December,36,78,75,65,58,47,45,57,48,55,46,48,48,45,53,53,43,48,48,48,43,48,47,48,48
2014 January,32,43,43,43,38,38,38,33,33,33,33,42,43,43,43,38,38,32,33,32,28,33,32,27,28
2014 Feb,36,33,32,33,38,37,37,36,38,32,32,32,32,27,23,33,27,38,33,33,28,28,28,28,32
2014March,31,43,42,38,37,32,33,38,33,42,42,38,32,33,38,36,32,37,37,33,33,33,37,33,29
2014 April,23,32,32,32,33,32,38,38,32,32,38,33,33,32,27,22,22,32,32,28,33,32,28,31,32
2014 May,25,33,22,22,16,20,22,20,19,21,22,28,28,28,28,23,20,21,17,19,18,20,22,28,28
2014June,25,22,28,29,34,37,35,29,27,27,22,22,28,22,22,22,20,20,22,22,22,22,22,27,28
2014 July,46,23,23,24,23,21,22,21,20,19,20,19,17,18,19,17,18,28,25,27,29,33,38,42,47
2014 August,56,48,47,42,42,52,53,47,42,47,42,48,43,43,42,38,43,35,35,43,48,43,67,58,57
2014 September,44,68,73,68,58,57,52,48,55,48,38,38,38,38,55,58,63,67,58,58,53,53,73,58,68
2014 October,32,35,37,38,38,44,68,68,48,53,53,53,58,65,34,39,38,33,43,38,38,34,33,32,45
2014 November,40,27,31,28,29,29,31,45,28,31,31,30,31,31,31,28,28,27,28,27,33,38,44,43,37
2014 December,34,38,38,38,38,38,38,38,48,47,43,35,38,38,38,43,43,38,43,42,45,43,39,43,38
2015 January,30,38,38,43,38,38,41,39,38,40,19,28,29,29,28,29,28,45,35,39,32,33,33,29,28
2015 Feb,39,35,38,38,33,33,28,28,28,28,28,28,28,28,28,28,28,28,29,28,28,28,28,28,27
2015 March,39,28,28,33,33,33,33,39,40,43,43,43,39,38,38,39,38,38,37,38,38,40,48,58,53
2015 Arpil,50,44,43,41,32,33,33,32,33,39,48,43,41,37,38,38,34,38,29,33,37,38,41,63,48
2015 May,43,43,42,38,37,53,63,63,58,53,42,38,43,37,37,38,42,43,62,73,61,63,47,57,58
2015 June,56,51,53,47,44,43,47,43,48,39,41,39,39,41,40,30,47,42,43,41,40,41,43,44,58
2015 July,44,55,59,55,55,53,55,54,63,65,63,55,55,56,55,55,65,55,55,60,55,45,50,51,50
2015 August,36,52,55,55,45,45,52,55,45,44,42,40,40,38,38,38,42,40,45,45,38,42,45,43,41
2015 September,44,42,38,35,33,32,33,29,29,28,26,35,38,35,33,30,31,32,38,35,35,38,38,53,63
2015 October,71,58,58,50,53,48,38,38,39,45,48,55,45,45,45,45,45,45,45,38,35,35,28,35,39
2015 November,52,45,55,55,58,55,60,65,75,77,73,95,75,95,75,70,65,75,65,75,85,95,83,63,75
2015 December,45,75,65,55,49,52,55,55,48,48,55,55,48,45,45,45,48,45,45,46,54,55,55,53,55
2016 January,39,55,55,45,45,42,42,45,42,45,42,42,45,45,45,45,44,45,45,45,42,42,45,48,38
2016 Feb,37,38,38,45,45,44,42,42,38,38,35,38,38,38,38,39,38,38,38,38,38,38,38,38,38
2016 March,34,45,45,38,39,38,32,29,38,33,38,40,41,37,38,38,35,36,35,35,35,36,35,33,33
2016 April,52,28,29,28,35,35,33,29,28,35,35,31,35,33,33,28,28,29,35,35,35,39,42,48,48
2016 May,60,43,45,42,48,55,54,54,48,45,48,48,54,48,55,55,65,66,65,66,45,38,37,65,55
2016 June,73,55,55,54,65,55,55,55,55,55,54,55,54,56,55,54,45,55,65,75,65,65,75,75,85
2016 July,52,85,85,75,75,74,76,75,85,95,75,75,62,55,55,55,65,65,75,72,72,82,78,75,71
