2013 May,33,22,28,29,29,29,29,29,29,29,31,32,29,29,31,29,27,27,25,23,21,17,19,19,16
2013 June,47,20,20,21,20,19,29,29,29,29,29,29,33,38,38,40,41,43,43,38,41,41,43,41,48
2013 July,52,48,48,48,48,48,38,38,38,48,48,38,48,48,48,38,52,48,48,53,53,53,53,48,48
2013 August,64,48,48,48,48,48,48,55,43,53,53,53,53,53,53,53,38,53,58,58,58,58,58,58,58
2013 Sept,87,58,55,58,63,63,58,53,58,53,58,58,58,58,58,53,58,78,75,78,78,73,78,83,78
2013 Oct,87,95,95,78,85,85,85,78,78,78,95,97,95,98,95,85,75,78,75,85,85,85,85,95,95
2013 Nov,37,95,95,95,105,105,95,110,110,100,100,92,82,72,79,75,103,78,78,75,78,75,75,58,48
2013 Dec,26,45,45,48,48,48,45,43,43,42,38,38,38,38,38,33,32,30,33,33,29,29,27,28,27
2104 Jan ,28,28,26,28,28,23,25,23,26,23,23,23,22,22,22,22,26,32,28,29,29,28,28,24,26
 2104 Feb,29,33,33,33,30,33,33,33,33,28,22,28,20,27,22,23,23,28,22,28,28,28,28,28,28
2014 March,35,28,28,26,28,28,22,19,21,22,21,28,28,28,28,33,33,32,33,33,28,33,35,35,35
2014 April,39,27,29,26,33,31,28,28,33,28,28,38,38,42,37,43,42,43,43,38,38,38,40,40,40
2014 May,51,38,38,37,33,38,38,38,38,38,38,42,42,42,42,38,38,38,41,37,38,38,42,40,40
2014 June,78,43,41,41,43,42,41,42,43,42,43,42,42,54,58,58,53,53,53,67,68,58,58,53,75
2014 July,76,85,76,87,77,78,78,73,75,85,83,87,85,86,83,78,77,73,75,66,67,71,72,70,83
2014 August,76,73,66,68,68,68,68,68,74,74,77,77,66,73,95,87,78,97,95,97,73,72,73,77,68
2014 Sept,82,77,75,87,77,77,68,68,68,67,77,77,73,73,73,87,97,85,85,87,68,65,66,68,77
2014 Oct,74,87,73,87,73,78,77,85,78,75,75,75,73,75,78,85,97,97,87,87,87,77,87,87,87
2014 Nov,46,87,73,87,87,97,97,97,97,73,67,67,67,67,67,75,57,57,67,57,77,65,65,67,58
2014 Dec,42,67,67,48,48,55,53,53,53,48,48,43,38,38,38,38,42,43,42,43,43,38,38,43,48
2015 Jan ,26,49,43,48,43,56,53,43,53,48,53,37,48,48,45,53,23,47,48,25,38,33,33,23,28
2015 Feb,24,28,33,28,28,27,28,28,28,27,28,23,26,23,22,23,23,23,23,26,23,23,23,28,28
2015 March,32,28,23,23,23,23,23,22,23,21,22,28,28,23,23,22,22,36,19,19,18,29,14,28,29
2015 April,25,24,21,28,22,23,20,18,22,29,28,38,43,42,41,45,31,32,43,33,32,32,43,43,38
2015 May,33,33,33,19,33,38,36,33,33,28,23,22,23,21,23,20,21,20,20,20,19,19,19,19,19
2015 June,58,19,19,19,23,22,26,24,28,33,35,36,37,38,33,38,38,37,34,39,38,42,30,58,55
2015 July,64,48,55,55,47,55,55,55,55,45,65,55,55,65,56,55,63,75,55,64,65,65,63,65,66
2015 August,75,61,57,65,65,65,65,65,53,67,65,65,65,65,67,64,65,65,65,65,65,65,66,55,64
2015 Sept,92,65,65,68,68,68,68,68,68,68,68,68,66,68,68,65,75,75,75,75,95,98,104,96,105
2015 Oct,70,95,95,72,95,98,98,98,98,98,90,98,85,85,97,98,99,98,95,95,95,97,85,75,63
2015 Nov,46,75,75,85,75,75,75,64,75,75,65,65,66,75,73,65,65,65,66,65,65,66,69,65,65
2015 Dec,38,55,55,45,45,47,45,45,45,45,45,45,48,43,45,42,42,42,46,42,45,45,45,45,48
2016 Jan ,28,45,48,44,38,38,38,39,38,35,36,35,35,33,35,35,38,38,34,37,36,38,35,38,35
2016 Feb,25,35,35,35,35,35,38,28,28,22,28,33,33,28,28,28,28,28,19,22,22,19,18,19,18
2016 March,49,18,19,19,19,19,21,19,22,22,22,28,28,28,28,22,23,28,27,28,28,35,37,33,35
2016 April,54,33,30,28,28,28,32,33,35,35,55,56,65,65,76,75,65,45,45,55,69,55,56,68,55
2016 May,77,45,55,55,55,55,54,56,55,55,55,55,55,55,52,55,55,55,55,54,45,55,55,56,55
2016 June,108,55,55,55,55,55,55,55,55,75,75,76,75,76,74,75,75,85,83,85,95,114,114,115,115
2016 July,101,115,107,115,115,115,114,115,115,113,115,115,107,95,95,109,111,95,105,98,98,105,105,106,98
2016 August,123,104,105,105,103,105,105,107,107,105,105,105,105,105,105,98,95,98,98,105,98,78,85,95,105
2016 Sept,133,105,103,130,110,105,105,95,96,105,105,105,125,111,110,115,115,155,155,155,154,155,155,135,155
2016 Oct,100,156,155,155,105,105,155,155,155,155,155,155,155,155,162,125,105,116,105,95,105,105,88,105,155
2016 Nov,64,145,115,116,113,116,136,115,105,103,105,105,104,105,105,98,27,98,97,85,95,86,78,85,75
2016 Dec,47,78,75,74,65,62,58,58,58,58,57,58,72,65,68,68,67,60,68,72,68,58,50,62,58
2017 Jan ,28,62,58,58,58,58,58,58,55,48,48,48,48,65,53,48,35,42,42,33,33,38,28,28,33
2017 Feb,28,33,28,33,29,28,22,28,22,28,24,28,28,28,28,28,28,28,27,28,28,28,28,28,28
2017 March,40,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,26,28,28,28,28,28,28,27,28
2017 August,70,62,62,62,62,62,62,62,63,62,63,62,67,72,68,68,68,72,68,43,48,52,48,48,52
2017 Nov,71,82,72,92,92,98,92,92,105,98,105,98,98,98,98,98,98,98,98,98,98,98,98,98,98
2017 July,65,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,82,83,78,78,78,78
2017 Dec,46,98,98,75,98,98,98,105,106,105,78,78,78,58,58,58,58,48,49,48,42,42,42,42,42
2017 May,59,62,58,52,52,52,47,48,48,48,48,46,48,48,48,56,57,48,48,68,68,62,62,68,68
