2013 May,23,27,23,20,20,18,21,21,17,14,14,16,16,16,16,17,16,16,16,15,14,28,32,38,25
2013 June,35,19,19,17,16,16,28,23,26,30,33,32,29,23,24,26,24,18,28,23,21,26,20,21,17
2013 July,33,18,17,16,16,21,22,33,35,46,53,53,50,49,43,38,30,30,33,34,43,43,43,44,40
2013 August,40,36,31,27,28,31,28,23,26,28,28,29,38,33,38,40,42,33,30,30,36,33,38,40,42
2013 Sept,54,33,38,43,43,48,53,54,58,47,40,39,38,38,35,38,38,38,33,32,33,31,33,38,38
2013 Oct,61,40,43,43,43,70,65,58,78,78,78,66,71,70,68,60,45,33,38,33,33,38,40,48,48
2013 Nov,31,45,53,59,65,75,55,55,75,70,60,56,66,72,65,65,60,58,55,60,65,65,57,49,48
2013 Dec,28,48,48,45,43,27,28,28,28,33,30,28,27,25,26,24,24,24,25,28,29,35,35,34,33
2104 Jan ,31,33,33,33,33,33,29,33,32,33,33,33,33,34,31,26,22,22,17,19,21,19,20,21,23
 2104 Feb,43,23,33,33,33,31,33,34,32,28,27,28,26,27,29,30,33,36,31,28,34,33,31,35,35
2014 March,37,55,49,48,47,48,42,48,47,55,55,53,34,38,42,37,28,32,37,45,43,42,40,36,40
2014 April,22,36,40,40,41,43,43,40,35,42,48,43,40,38,35,38,32,38,34,32,34,34,30,33,30
2014 May,27,30,28,21,18,14,16,18,18,26,26,23,32,27,24,22,18,16,18,19,23,23,26,23,27
2014 June,16,30,32,37,46,43,43,37,33,29,26,28,24,20,20,18,17,17,19,17,20,21,25,22,18
2014 July,34,18,16,17,16,16,15,16,14,14,14,14,12,15,12,12,13,14,17,18,19,18,18,18,27
2014 August,41,34,34,32,31,31,30,32,26,26,24,28,26,26,26,30,34,32,36,38,44,53,53,46,53
2014 Sept,44,42,40,39,39,31,31,26,28,25,24,27,30,26,33,49,49,48,49,55,60,65,58,52,55
2014 Oct,25,52,60,33,31,33,34,38,51,62,61,60,48,48,53,58,54,50,49,28,33,37,28,26,31
2014 Nov,30,30,28,30,34,33,31,32,33,31,25,26,21,20,20,20,20,18,17,19,18,19,21,23,21
2014 Dec,28,25,28,28,29,30,31,33,33,34,32,28,24,20,19,25,27,34,36,33,28,30,43,39,39
2015 Jan ,17,35,38,42,34,36,33,28,27,19,22,20,23,23,28,30,28,28,28,27,27,28,28,23,25
2015 Feb,39,16,18,20,16,16,16,18,19,18,18,18,16,18,17,17,17,15,15,14,15,16,14,16,14
2015 March,35,19,19,20,21,18,18,39,33,33,33,33,42,43,43,57,54,54,55,53,53,47,46,56,52
2015 April,48,29,35,32,32,32,30,28,32,42,38,34,37,33,33,32,33,33,23,33,28,33,53,55,38
2015 May,46,32,28,14,33,48,63,58,53,53,51,43,38,37,34,34,33,38,37,63,70,73,73,74,63
2015 June,54,53,53,58,57,58,65,43,48,48,42,53,48,50,52,40,33,39,38,38,35,38,33,36,43
2015 July,53,45,45,38,37,45,45,55,55,55,55,55,66,65,65,55,55,55,55,55,55,65,55,55,55
2015 August,30,50,55,55,55,55,65,64,74,75,73,65,65,55,50,47,44,45,45,40,38,38,37,38,38
2015 Sept,24,38,35,35,33,29,33,31,31,28,28,28,26,35,40,30,30,28,30,23,28,20,22,30,25
2015 Oct,52,25,22,20,22,18,18,22,22,22,22,22,25,22,19,19,20,14,18,20,18,25,45,55,32
2015 Nov,48,25,25,28,42,45,45,48,65,55,55,65,55,58,62,95,61,50,35,40,55,53,65,73,55
2015 Dec,24,55,55,55,48,47,45,50,45,52,48,48,53,48,48,50,48,45,45,40,45,45,45,45,45
2016 Jan ,27,45,39,35,35,28,25,18,18,18,18,18,18,18,19,18,18,18,28,25,25,21,22,22,18
2016 Feb,34,25,25,25,33,28,28,25,28,22,25,27,28,22,28,28,28,28,28,28,33,25,22,25,28
2016 March,30,22,28,28,33,35,28,27,22,28,28,32,28,38,38,35,38,39,42,45,45,42,45,35,33
2016 April,59,28,38,32,28,28,28,32,28,28,27,28,28,23,22,18,18,22,28,33,35,35,41,48,43
2016 May,51,36,45,45,55,65,63,63,55,55,58,63,53,55,50,59,75,66,75,75,66,55,64,55,65
2016 June,67,55,65,54,65,75,55,45,55,46,54,39,38,34,45,33,45,48,55,45,36,55,53,63,66
2016 July,60,65,67,65,67,75,65,68,58,59,62,58,55,55,52,60,62,65,65,85,80,75,88,83,85
2016 August,47,78,75,72,68,68,84,72,68,65,55,55,52,50,55,78,58,55,45,45,48,52,45,55,50
2016 Sept,62,50,50,48,50,45,45,40,40,42,40,50,45,42,50,47,55,45,50,45,42,47,50,55,50
2016 Oct,35,55,65,68,75,65,70,65,72,70,85,65,60,55,52,60,68,77,75,52,65,55,41,40,45
2016 Nov,31,45,40,40,41,36,34,35,35,35,35,38,43,35,35,35,35,30,30,27,30,30,35,37,35
2016 Dec,25,30,30,31,30,30,30,35,35,35,37,35,35,33,33,32,31,35,33,29,30,22,25,21,23
2017 Jan ,18,25,25,25,25,27,25,25,22,27,25,25,23,25,25,25,45,25,22,27,25,20,18,22,20
2017 Feb,29,20,20,20,19,15,15,15,20,18,18,18,18,18,18,18,18,18,17,18,18,18,18,18,22
2017 March,31,22,22,22,28,27,28,28,28,28,27,33,33,33,28,28,30,28,28,28,28,28,33,37,33
2017 April,36,33,28,33,33,33,33,33,32,33,27,24,24,27,36,32,33,31,33,33,33,28,33,33,28
